FECHA_PRESTACION,TOTAL_PRESTACIONES_DIA,TOTAL_LIQUIDADO_DIA,LIQUIDADO_ACUMULADO
2015-04-06,1,161.97,161.97
2015-04-23,1,375.42,537.39
2015-04-24,1,386.23,923.62
2015-05-16,1,379.74,1303.36
2015-05-20,1,389.79,1693.15
2015-05-23,1,203.8,1896.95
2015-06-05,1,101.7,1998.65
2017-08-01,1,1667.9,3666.55
2017-09-29,7,6062.32,9728.87
2018-11-20,1,1103.66,10832.53
2019-01-24,2,563.83,11396.36
2019-03-06,2,2837.4,14233.76
2019-04-29,2,1044.25,15278.01
2019-07-09,1,122.42,15400.43
2019-07-26,1,5146.84,20547.27
2019-09-28,1,461.02,21008.29
2019-10-12,3,1594.2,22602.49
2019-10-25,2,1397.6,24000.09
2019-11-03,2,3761.68,27761.77
2019-11-22,2,1601.87,29363.64
2020-01-23,1,97.39,29461.03
2020-02-10,1,1434.71,30895.74
2020-06-22,1,3916.23,34811.97
2020-06-25,1,34.58,34846.55
2020-06-26,4,564.56,35411.11
2020-06-27,1,32.0,35443.11
2020-07-01,2,43.73,35486.84
2020-07-02,2,830.86,36317.7
2020-07-14,2,101.65,36419.35
2020-07-20,1,1044.91,37464.26
2020-07-22,1,38.8,37503.06
2020-07-23,3,91.2,37594.26
2020-08-10,1,1152.15,38746.41
2020-08-18,1,1431.0,40177.41
2020-08-25,1,2839.17,43016.58
2020-09-07,1,30.4,43046.98
2020-09-16,1,7846.94,50893.92
2020-09-19,2,185.6,51079.52
2020-09-22,3,678.53,51758.05
2020-09-23,2,60.8,51818.85
2020-09-24,1,207.0,52025.85
2020-09-29,1,37.0,52062.85
2020-10-22,2,140.18,52203.03
2020-10-24,1,2493.85,54696.88
2020-11-13,1,9.45,54706.33
2020-11-23,1,6724.0,61430.33
2020-12-05,1,30.34,61460.67
2020-12-29,2,90.0,61550.67
2021-01-03,1,41.0,61591.67
2021-01-04,1,30.34,61622.01
2021-01-05,1,785.71,62407.72
2021-01-07,1,30.34,62438.06
2021-01-15,1,2584.76,65022.82
2021-01-28,2,496.89,65519.71
2021-02-02,2,673.68,66193.39
2021-02-06,1,60.0,66253.39
2021-02-10,1,518.33,66771.72
2021-02-12,1,30.34,66802.06
2021-02-22,1,263.62,67065.68
2021-03-01,3,333.87,67399.55
2021-03-03,6,35195.24,102594.79
2021-03-08,3,131.79,102726.58
2021-03-17,3,466.8,103193.38
2021-03-20,3,263.6,103456.98
2021-03-22,2,60.68,103517.66
2021-04-03,2,1625.1,105142.76
2021-04-06,1,80.0,105222.76
2021-04-07,2,120.53,105343.29
2021-04-22,2,261.65,105604.94
2021-04-26,2,60.68,105665.62
2021-04-27,1,157.2,105822.82
2021-05-24,3,852.23,106675.05
2021-06-01,1,30.34,106705.39
2021-06-07,6,3439.14,110144.53
2021-06-14,2,217.6,110362.13
2021-06-22,1,30.34,110392.47
2021-06-23,1,220.34,110612.81
2021-06-24,2,298.08,110910.89
2021-06-28,2,250.68,111161.57
2021-07-06,3,498.36,111659.93
2021-07-09,1,30.34,111690.27
2021-07-14,1,294.56,111984.83
2021-07-20,1,46.06,112030.89
2021-07-26,2,242.48,112273.37
2021-08-04,2,51.34,112324.71
2021-08-11,2,43.88,112368.59
2021-08-12,2,203.62,112572.21
2021-08-16,1,2609.53,115181.74
2021-08-17,1,875.09,116056.83
2021-08-23,2,57.41,116114.24
2021-09-09,2,435.68,116549.92
2021-09-21,1,430.34,116980.26
2021-09-23,8,4130.75,121111.01
2021-10-04,1,109040.34,230151.35
2021-10-22,3,662.87,230814.22
2021-10-23,1,60.0,230874.22
2021-10-27,1,21.86,230896.08
2021-10-29,1,71.0,230967.08
2021-11-05,1,216.6,231183.68
2021-11-10,1,4305.28,235488.96
2021-11-18,2,60.68,235549.64
2021-11-26,1,60.0,235609.64
2021-11-27,1,5106.46,240716.1
2021-11-29,1,207.0,240923.1
2021-12-02,1,326.7,241249.8
2021-12-09,2,288.12,241537.92
2021-12-13,1,313.16,241851.08
2021-12-17,1,145.96,241997.04
2021-12-20,1,138.5,242135.54
2022-01-01,1,1356.65,243492.19
2022-01-04,1,41.04,243533.23
2022-01-06,2,60.68,243593.91
2022-01-07,1,30.34,243624.25
2022-01-08,2,104.86,243729.11
2022-01-11,1,544.46,244273.57
2022-01-22,4,2696.36,246969.93
2022-01-25,1,35.52,247005.45
2022-01-31,1,648.47,247653.92
2022-02-04,1,483.56,248137.48
2022-02-05,1,75.0,248212.48
2022-02-08,2,60.68,248273.16
2022-02-11,1,486.54,248759.7
2022-02-12,5,3823.31,252583.01
2022-02-25,2,1907.48,254490.49
2022-03-03,1,53.0,254543.49
2022-03-07,4,2493.49,257036.98
2022-03-08,1,38.81,257075.79
2022-03-10,3,83.52,257159.31
2022-03-15,2,433.41,257592.72
2022-03-17,1,32.0,257624.72
2022-03-21,1,1043.66,258668.38
2022-03-27,1,931.22,259599.6
2022-03-30,1,394.34,259993.94
2022-03-31,1,428.26,260422.2
2022-04-11,2,7589.95,268012.15
2022-04-20,8,1596.83,269608.98
2022-04-25,1,133.95,269742.93
2022-05-05,1,1497.35,271240.28
2022-05-10,2,895.53,272135.81
2022-05-11,1,1551.37,273687.18
2022-05-18,3,821.46,274508.64
2022-05-19,1,368.92,274877.56
2022-05-20,1,1700.0,276577.56
2022-05-31,1,5682.83,282260.39
2022-06-03,1,27.0,282287.39
2022-06-04,2,210.14,282497.53
2022-06-09,2,140.19,282637.72
2022-06-11,2,448.12,283085.84
2022-06-14,1,1011.87,284097.71
2022-06-17,1,1528.02,285625.73
2022-06-19,1,42.0,285667.73
2022-06-22,4,152.68,285820.41
2022-06-27,1,240.56,286060.97
2022-06-30,2,565.43,286626.4
2022-07-01,1,30.34,286656.74
2022-07-08,1,2665.44,289322.18
2022-07-12,1,292.5,289614.68
2022-07-13,4,1100.03,290714.71
2022-07-14,10,4306.46,295021.17
2022-07-15,6,1586.03,296607.2
2022-07-16,3,807.53,297414.73
2022-07-17,3,827.53,298242.26
2022-07-18,2,387.9,298630.16
2022-07-19,4,1001.01,299631.17
2022-07-20,6,1164.77,300795.94
2022-07-21,6,1675.06,302471.0
2022-07-22,3,827.53,303298.53
2022-07-23,4,1120.03,304418.56
2022-07-24,5,1342.54,305761.1
2022-07-25,3,827.53,306588.63
2022-07-26,5,1312.55,307901.18
2022-07-27,1,193.48,308094.66
2022-07-28,1,238.75,308333.41
2022-07-30,1,292.5,308625.91
2022-08-02,2,595.01,309220.92
2022-08-03,2,420.0,309640.92
2022-08-05,9,1741.63,311382.55
2022-08-07,1,262.51,311645.06
2022-08-08,1,292.5,311937.56
2022-08-09,4,250.01,312187.57
2022-08-10,1,282.51,312470.08
2022-08-12,1,262.51,312732.59
2022-08-13,2,315.99,313048.58
2022-08-16,1,292.5,313341.08
2022-08-23,2,307.51,313648.59
2022-08-24,1,292.5,313941.09
2022-08-25,2,352.5,314293.59
2022-08-27,1,30.34,314323.93
2022-08-28,1,292.5,314616.43
2022-08-29,3,317.76,314934.19
2022-08-31,2,1315.4,316249.59
2022-09-02,1,262.51,316512.1
2022-09-03,1,292.5,316804.6
2022-09-05,1,262.51,317067.11
2022-09-09,2,60.68,317127.79
2022-09-10,1,292.5,317420.29
2022-09-11,2,476.22,317896.51
2022-09-12,3,91.02,317987.53
2022-09-14,2,555.01,318542.54
2022-09-15,1,292.5,318835.04
2022-09-18,1,67.5,318902.54
2022-09-23,1,262.51,319165.05
2022-09-25,1,292.5,319457.55
2022-09-27,1,282.51,319740.06
2022-09-28,1,292.5,320032.56
2022-09-29,1,262.51,320295.07
2022-09-30,1,1185.08,321480.15
2022-10-01,1,316.93,321797.08
2022-10-11,1,21.66,321818.74
2022-10-13,1,284.6,322103.34
2022-10-21,3,350.68,322454.02
2022-10-24,1,600.0,323054.02
2022-10-25,1,222.62,323276.64
2022-10-26,1,64.0,323340.64
2022-11-01,1,292.5,323633.14
2022-11-03,2,337.5,323970.64
2022-11-04,4,721.31,324691.95
2022-11-05,1,292.5,324984.45
2022-11-08,1,252.44,325236.89
2022-11-09,1,117.6,325354.49
2022-11-12,1,684.0,326038.49
2022-11-16,1,292.5,326330.99
2022-11-17,4,1030.4,327361.39
2022-11-22,5,1254.5,328615.89
2022-11-23,1,169.06,328784.95
2022-11-30,1,727.39,329512.34
2022-12-01,2,60.68,329573.02
2022-12-06,3,746.31,330319.33
2022-12-07,1,312.5,330631.83
2022-12-09,1,242.51,330874.34
2022-12-10,2,843.9,331718.24
2022-12-14,2,535.01,332253.25
2022-12-22,1,703.4,332956.65
2022-12-23,1,41.0,332997.65
2022-12-24,1,292.5,333290.15
2022-12-30,2,60.68,333350.83
2023-01-01,1,35.59,333386.42
2023-01-02,2,180.34,333566.76
2023-01-04,3,453.7,334020.46
2023-01-06,2,1235.93,335256.39
2023-01-07,3,233.3,335489.69
2023-01-09,1,150.0,335639.69
2023-01-10,2,757.58,336397.27
2023-01-15,1,75.0,336472.27
2023-01-16,2,232.3,336704.57
2023-01-18,1,548.75,337253.32
2023-01-19,1,790.02,338043.34
2023-01-22,1,37372.86,375416.2
2023-01-23,1,75.0,375491.2
2023-01-25,3,385.17,375876.37
2023-01-26,1,737.17,376613.54
2023-01-27,1,134.84,376748.38
2023-01-28,3,653.59,377401.97
2023-02-01,2,750.0,378151.97
2023-02-03,2,608.0,378759.97
2023-02-06,1,27.0,378786.97
2023-02-08,1,2343.75,381130.72
2023-02-09,4,1131.2,382261.92
2023-02-10,1,261.52,382523.44
2023-02-11,2,726.74,383250.18
2023-02-14,2,164.6,383414.78
2023-02-15,1,45.08,383459.86
2023-02-16,4,492.4,383952.26
2023-02-17,2,715.2,384667.46
2023-02-18,1,140.9,384808.36
2023-02-20,5,1060.25,385868.61
2023-02-22,2,140.42,386009.03
2023-02-28,3,147.93,386156.96
2023-03-01,3,287.47,386444.43
2023-03-02,3,784.78,387229.21
2023-03-03,1,130.0,387359.21
2023-03-04,6,299.08,387658.29
2023-03-05,1,80.0,387738.29
2023-03-06,2,160.0,387898.29
2023-03-07,2,185.0,388083.29
2023-03-08,1,130.0,388213.29
2023-03-10,1,315.43,388528.72
2023-03-11,1,43.87,388572.59
2023-03-12,1,150.0,388722.59
2023-03-13,2,704.51,389427.1
2023-03-14,2,300.0,389727.1
2023-03-15,4,664.32,390391.42
2023-03-16,1,150.0,390541.42
2023-03-17,3,5458.57,395999.99
2023-03-18,3,222.36,396222.35
2023-03-19,2,300.0,396522.35
2023-03-20,4,951.01,397473.36
2023-03-22,3,6062.88,403536.24
2023-03-23,3,234.34,403770.58
2023-03-24,5,836.57,404607.15
2023-03-25,1,150.0,404757.15
2023-03-26,1,2200.0,406957.15
2023-03-27,2,450.0,407407.15
2023-03-28,1,30.34,407437.49
2023-03-29,1,150.0,407587.49
2023-03-30,1,30.34,407617.83
2023-03-31,1,1095.5,408713.33
2023-04-01,5,3075.56,411788.89
2023-04-03,6,535.68,412324.57
2023-04-04,2,338.48,412663.05
2023-04-05,4,3841.93,416504.98
2023-04-07,3,600.0,417104.98
2023-04-08,1,477.09,417582.07
2023-04-09,1,140.47,417722.54
2023-04-10,1,150.0,417872.54
2023-04-11,4,874.24,418746.78
2023-04-12,1,150.0,418896.78
2023-04-13,2,666.39,419563.17
2023-04-14,1,822.06,420385.23
2023-04-15,3,349.7,420734.93
2023-04-16,1,150.0,420884.93
2023-04-17,2,150.35,421035.28
2023-04-18,4,787.85,421823.13
2023-04-19,2,155.95,421979.08
2023-04-20,2,1176.81,423155.89
2023-04-22,1,1798.14,424954.03
2023-04-23,1,150.0,425104.03
2023-04-24,6,8230.59,433334.62
2023-04-25,2,30.34,433364.96
2023-04-26,1,150.0,433514.96
2023-04-27,1,150.0,433664.96
2023-04-28,2,182.66,433847.62
2023-04-29,3,232.02,434079.64
2023-04-30,1,150.0,434229.64
2023-05-01,4,900.0,435129.64
2023-05-02,2,450.0,435579.64
2023-05-04,5,2056.61,437636.25
2023-05-05,2,1090.0,438726.25
2023-05-06,5,2479.58,441205.83
2023-05-07,1,150.0,441355.83
